timestamp,equity,net_return,benchmark_return,turnover,drawdown,alpha,beta,sharpe,sortino,information_ratio,volatility,benchmark_volatility,max_drawdown
2025-08-20T00:00:00+00:00,1000000.0,0.0,0.008324737901526102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-21T00:00:00+00:00,1000000.0,0.0,0.0011260738857024055,0.0,0.0,0.0,0.0,0.0,0.0,-14.736776014395321,0.0,0.0808048031691315,0.0
2025-08-22T00:00:00+00:00,1000000.0,0.0,0.04270550381951277,0.0,0.0,0.0,0.0,0.0,0.0,-12.419874480618715,0.0,0.35275159324702093,0.0
2025-08-25T00:00:00+00:00,1000000.0,0.0,0.03615200102682037,0.0,0.0,0.0,0.0,0.0,0.0,-17.157389066454602,0.0,0.3242581914046441,0.0
2025-08-26T00:00:00+00:00,1000000.0,0.0,-0.013638413080330092,0.0,0.0,0.0,0.0,0.0,0.0,-9.946816547411926,0.0,0.37834850186938096,0.0
2025-08-27T00:00:00+00:00,1000000.0,0.0,-0.0077730958509085735,0.0,0.0,0.0,0.0,0.0,0.0,-7.6139144134074686,0.0,0.36901727166120724,0.0
2025-08-28T00:00:00+00:00,1000000.0,0.0,0.04400868380596057,0.0,0.0,0.0,0.0,0.0,0.0,-10.229082911175354,0.0,0.3903182454349122,0.0
2025-08-29T00:00:00+00:00,1000000.0,0.0,0.013309444966222772,0.0,0.0,0.0,0.0,0.0,0.0,-10.819390072158148,0.0,0.36164427688172507,0.0
2025-09-01T00:00:00+00:00,1000000.0,0.0,0.017671809303070107,0.0,0.0,0.0,0.0,0.0,0.0,-11.737346719213166,0.0,0.3384775943671251,0.0
2025-09-02T00:00:00+00:00,1000000.0,0.0,-0.007985174123046335,0.0,0.0,0.0,0.0,0.0,0.0,-9.905114169840418,0.0,0.3406643828466363,0.0
2025-09-03T00:00:00+00:00,1000000.0,0.0,0.0005121042683973176,0.0,0.0,0.0,0.0,0.0,0.0,-9.359328752419854,0.0,0.32900811613731135,0.0
2025-09-04T00:00:00+00:00,1000000.0,0.0,-0.03825472941963237,0.0,0.0,0.0,0.0,0.0,0.0,-5.181091086079589,0.0,0.38975147184628667,0.0
2025-09-05T00:00:00+00:00,1000000.0,0.0,0.04487873043758239,0.0,0.0,0.0,0.0,0.0,0.0,-6.718499303987413,0.0,0.40693032752358077,0.0
2025-09-08T00:00:00+00:00,1000000.0,0.0,-0.010827091082529439,0.0,0.0,0.0,0.0,0.0,0.0,-5.835602580070522,0.0,0.4016364228528291,0.0
2025-09-09T00:00:00+00:00,1000000.0,0.0,-0.012290269740974913,0.0,0.0,0.0,0.0,0.0,0.0,-4.989885115675246,0.0,0.39701541515425953,0.0
2025-09-10T00:00:00+00:00,1000000.0,0.0,0.021207211953735206,0.0,0.0,0.0,0.0,0.0,0.0,-5.6593444682990635,0.0,0.38719300077850655,0.0
2025-09-11T00:00:00+00:00,1000000.0,0.0,0.04774266187137588,0.0,0.0,0.0,0.0,0.0,0.0,-6.858016111932877,0.0,0.4039179423878238,0.0
2025-09-12T00:00:00+00:00,1000000.0,0.0,-0.0033653996090886595,0.0,0.0,0.0,0.0,0.0,0.0,-6.495361773197363,0.0,0.3955233217753329,0.0
2025-09-15T00:00:00+00:00,1000000.0,0.0,0.0008174226875159452,0.0,0.0,0.0,0.0,0.0,0.0,-6.335150624379795,0.0,0.38589368426311116,0.0
2025-09-16T00:00:00+00:00,1000000.0,0.0,0.001539231255779372,0.0,0.0,0.0,0.0,0.0,0.0,-6.2164804776363765,0.0,0.3767170517644289,0.0
2025-09-17T00:00:00+00:00,1026088.4375309288,0.02608843753092871,0.005518151304362062,1.0,0.0,0.3331664965601197,-0.008754523580885194,3.4641016151377544,0.0,-5.199563074006395,0.09037299858731057,0.3674111464967449,0.0
2025-09-18T00:00:00+00:00,1044767.5266152706,0.018204170713870704,-0.006443315873766342,0.4,0.0,0.5742568620280303,-0.03158345857460278,4.8212431305228085,0.0,-4.14986991308763,0.10523254702266244,0.36240158681555235,0.0
2025-09-19T00:00:00+00:00,1058932.980922585,0.01355847492045048,-0.003463953575770118,1.4833473230830307,0.0,0.7194048108051008,-0.04303069174322812,5.778757611956578,0.0,-3.498809670873066,0.10968562672032454,0.3562427823218531,0.0
2025-09-22T00:00:00+00:00,1083856.978776894,0.02353689827716421,0.015979239371712195,1.7024344619175784,0.0,0.9129618917234266,-0.02816270479355741,6.72498900746906,0.0,-3.199250710255844,0.1270743794816946,0.34939690822975566,0.0
2025-09-23T00:00:00+00:00,1104301.5614143317,0.01886280481444036,0.0024667171904311225,1.3532290122028756,0.0,1.0825491019705855,-0.035739392565749394,7.5555871513881465,0.0,-2.651162411308975,0.13374578377848959,0.3425289595596219,0.0
2025-09-24T00:00:00+00:00,1155311.168118867,0.04619173646662689,0.013385251139635734,0.8753936808461793,0.0,1.4527332409353482,-0.016139690077844285,7.65071784526743,0.0,-1.667801926055472,0.18552062932914615,0.33602748678127686,0.0
2025-09-25T00:00:00+00:00,1161647.229777166,0.005484290148960902,0.005311761967764728,1.469306766740382,0.0,1.4508164135794268,-0.016091293407995696,7.794608759437618,0.0,-1.6332156048361164,0.18191850682596272,0.3296205095503464,0.0
2025-09-26T00:00:00+00:00,1142523.608150945,-0.016462503534648176,-0.017858204282524603,1.6948047485601618,-0.016462503534648194,1.1624316374929402,0.031407301518228126,6.402547923725083,0.0,-1.5705439450928667,0.19042087596445717,0.33269897452667285,-0.016462503534648176
2025-09-29T00:00:00+00:00,1170167.533783703,0.02419549621166861,0.019332904934574957,1.5210541106992366,0.0,1.2918136039036914,0.04997372160748216,7.096526538460281,0.0,-1.426835023243143,0.19550249655241733,0.3286654531670632,0.0
2025-09-30T00:00:00+00:00,1169925.0473946738,-0.00020722365133929443,0.0019131986785474453,1.7651611372437725,-0.0002072236513392511,1.2415929747620542,0.05244922001931058,6.946585659028029,7.340592535867731,-1.4529413185528275,0.19281439165779274,0.3233678276476237,-0.00020722365133929443
2025-10-09T00:00:00+00:00,1172781.4456091302,0.0024415224042064754,0.007558144204743433,1.4901434015974522,0.0,1.2182346517740927,0.052412593126232386,6.93564503663983,7.21257191017064,-1.5466349816554557,0.18975054076609651,0.3179330064478601,0.0
2025-10-10T00:00:00+00:00,1162418.944617611,-0.008835832993705939,-0.030473625840226615,1.9999999999999998,-0.008835832993705946,1.0714177861968128,0.08541571347888516,6.317651217846318,9.336149941189094,-1.0176339824259573,0.19078829219798413,0.33033286538480455,-0.008835832993705939
2025-10-13T00:00:00+00:00,1146290.9670338875,-0.013874496504381106,-0.011665130059309803,2.220446049250313e-16,-0.02258773676410255,0.9096460935612829,0.10704928221800489,5.458028099882956,9.346934810629438,-1.0506900634908638,0.19473295066211505,0.3288661114124428,-0.02258773676410253
2025-10-14T00:00:00+00:00,1154958.0549065322,0.007560984184557862,-0.02327881171188495,2.0,-0.015197538099983114,0.9725469355334376,0.09460065888170602,5.665497900049754,9.564851353155671,-0.3619671597968019,0.19197564708952652,0.33330306338705357,-0.015197538099983143
2025-10-15T00:00:00+00:00,1193496.4310783187,0.033367771243350886,0.025286082531752463,2.0,0.0,1.118634105889942,0.1306377090822385,6.339303857311013,11.404347068436795,-0.19071899323060792,0.20456666013507174,0.33292200530729743,0.0
2025-10-16T00:00:00+00:00,1205825.0336494984,0.010329819386255545,0.00790321695506302,0.8,0.0,1.1515561017354066,0.1314241699352186,6.596580159485525,11.723453712707814,-0.13910279977856918,0.20208902417594812,0.3281976869861973,0.0
2025-10-17T00:00:00+00:00,1164531.9664504472,-0.03424465908961549,-0.025216014703918543,1.2000000000000002,-0.03424465908961545,0.8314834568410104,0.1982069802756373,4.7410035811561055,5.339017841992408,-0.3163946699378499,0.2243898155878965,0.3333762813119682,-0.03424465908961549
2025-10-20T00:00:00+00:00,1192875.5222684601,0.02433901055065535,0.013991216494914527,0.8,-0.010739129657845795,0.9397744979083484,0.20861336785654114,5.266803266668158,6.008559881724134,-0.10894058980918883,0.22731879766285565,0.32971867403905214,-0.010739129657845847
2025-10-21T00:00:00+00:00,1256723.1970094312,0.05352417209429672,0.032299636524742104,1.6,0.0,1.1208031256612097,0.2774773437208255,5.901087815812058,7.590190950012792,0.29831215864117433,0.2562905995570747,0.332724043784568,0.0
2025-10-22T00:00:00+00:00,1249084.2265820797,-0.006078482871589963,-0.0034827663462063674,1.6,-0.006078482871589909,1.053742986057304,0.2825244081063939,5.6370597787186725,7.688011337988787,0.24573184417315835,0.25479400880684705,0.3292209656462964,-0.006078482871589963
2025-10-23T00:00:00+00:00,1248049.500947132,-0.0008283874000867275,-0.00045497915307057823,0.8,-0.006901834933054154,1.0215635839801953,0.28417579477375576,5.537947889104781,7.4982150813061414,0.2358459250234877,0.2521089209532586,0.3254006068080474,-0.006901834933054185
2025-10-24T00:00:00+00:00,1331405.1450126737,0.06678873233977023,0.029857753368684126,1.2000000000000002,0.0,1.2371796338266068,0.35913263837760717,6.066556484335363,9.471849673744101,0.8791904870178369,0.29071787528971554,0.3270196451521787,0.0
2025-10-27T00:00:00+00:00,1399389.413088905,0.05106204398480374,0.02411563219033952,1.6,0.0,1.397429862610305,0.39693427423041494,6.5987753739143225,10.858704424932714,1.3184808918105655,0.3064035914300154,0.3261255288228977,0.0
2025-10-28T00:00:00+00:00,1389650.4834269441,-0.006959413563422556,-0.006104958540375849,1.6,-0.0069594135634225215,1.32946476187612,0.4037400570534325,6.3491444787001,11.109985396943756,1.2889875509724948,0.3049352570002113,0.32366286965095253,-0.006959413563422556
2025-10-29T00:00:00+00:00,1435607.922495978,0.033071221589259236,0.013303512612200752,0.8,0.0,1.4411823754306716,0.41271848578166154,6.761208519463244,11.925841419497385,1.5947081516977129,0.3073789075771416,0.320435025186561,0.0
2025-10-30T00:00:00+00:00,1437330.3437242515,0.0011997852625937888,-0.017130206281644522,1.2000000000000002,0.0,1.4596086888471373,0.4095744408473182,6.700730147402882,11.704300973685262,1.8683698214247264,0.3043916364007472,0.32149591631605995,0.0
2025-10-31T00:00:00+00:00,1406630.0433252011,-0.021359251568782156,-0.025755322156504112,0.8,-0.02135925156878211,1.3378286679715765,0.43582638464864204,6.095793669153957,10.934738536572711,1.9200658979179777,0.30869278788370885,0.326175925367943,-0.021359251568782156
2025-11-03T00:00:00+00:00,1440542.7380557451,0.024109178452051294,0.0038341147826010946,1.6,0.0,1.428957037100032,0.4348607572674775,6.398108198797084,11.442449603773163,2.2092767390923918,0.3077625464682671,0.32269748300804163,0.0
2025-11-04T00:00:00+00:00,1433574.7730997226,-0.00483704146495989,-0.0066113561967678924,2.0,-0.0048370414649599415,1.3844847760333467,0.4392737518783217,6.224614696759546,11.450413338703338,2.215048940732273,0.30588819973846787,0.32038903809160046,-0.00483704146495989
