execution_timestamp,symbol,trade_side,quantity,price,turnover,realized_pnl,estimated_fee,delta_weight,execution_model,fee_rate,estimated_slippage
2024-01-01T00:00:00+00:00,BTCUSDT,buy,2.362338705865671,42314.0,99960.0,0.0,39.98,0.9570345303359703,same_bar_open,0.0003999599839935974,0.0
2024-01-02T00:00:00+00:00,BTCUSDT,sell,0.0008833635454957622,44230.3,39.071434626341215,1.6927895622335318,0.02,0.00036808508891648673,same_bar_open,0.0005118829188451755,0.0
2024-01-03T00:00:00+00:00,BTCUSDT,sell,0.0015552748000336293,44979.7,69.95579392307263,4.145896034449641,0.03,0.0006919525923403449,same_bar_open,0.00042884224904930253,0.0
2024-01-04T00:00:00+00:00,BTCUSDT,sell,0.0004999842924880381,42849.5,21.424076940966188,0.26774158862734443,0.01,0.00020571894139066822,same_bar_open,0.00046676456715287625,0.0
2024-01-05T00:00:00+00:00,BTCUSDT,sell,0.00023613413820693506,44143.8,10.423858170179301,0.43207824609105044,0.0,0.00010008867308149723,same_bar_open,0.0,0.0
2024-01-07T00:00:00+00:00,BTCUSDT,sell,0.0002360117875213945,43956.6,10.374275739362929,0.38767296218264224,0.0,0.00010015090671727072,same_bar_open,0.0,0.0
2024-01-08T00:00:00+00:00,BTCUSDT,sell,0.00023598728378515185,43916.9,10.363829943264136,0.37826401717922026,0.0,9.35506861020343e-05,same_bar_open,0.0,0.0
2024-01-09T00:00:00+00:00,BTCUSDT,sell,0.0002359579514021301,46972.6,11.083558468031697,1.0992337124019629,0.0,0.00010191043660628718,same_bar_open,0.0,0.0
2024-01-11T00:00:00+00:00,BTCUSDT,sell,0.00023594010317836843,46663.0,11.009673034612206,1.0261035087227244,0.0,0.00010076231388622067,same_bar_open,0.0,0.0
2024-01-12T00:00:00+00:00,BTCUSDT,sell,0.00023591653444804997,46337.9,10.931876781600295,0.9493045429655086,0.0,0.00010834846076036774,same_bar_open,0.0,0.0
2024-01-14T00:00:00+00:00,BTCUSDT,sell,0.00023590046997525288,42846.4,10.107485896747676,0.12559341021482498,0.0,0.00010272822586753631,same_bar_open,0.0,0.0
2024-01-15T00:00:00+00:00,BTCUSDT,sell,0.00023587169672081919,41734.9,9.844081675473717,-0.13659329957102606,0.0,9.82251034041956e-05,same_bar_open,0.0,0.0
2024-01-16T00:00:00+00:00,BTCUSDT,sell,0.0002358438538180655,42515.0,10.026901445075055,0.047404614617431166,0.0,9.86256774540116e-05,same_bar_open,0.0,0.0
2024-01-17T00:00:00+00:00,BTCUSDT,sell,0.00023582063783510716,43133.0,10.171651571741677,0.19313710238695275,0.0,0.00010087709047143051,same_bar_open,0.0,0.0
2024-01-18T00:00:00+00:00,BTCUSDT,sell,0.00023579972007326682,42783.3,10.088290163810598,0.11066080863038481,0.0,0.00010358599847945887,same_bar_open,0.0,0.0
2024-01-20T00:00:00+00:00,BTCUSDT,sell,0.0002357779138016764,41662.1,9.823003022596822,-0.1537036220073132,0.0,9.999007594618266e-05,same_bar_open,0.0,0.0
2024-01-21T00:00:00+00:00,BTCUSDT,sell,0.00023575115609472384,41691.8,9.828890049670008,-0.1466843693221365,0.0,0.0001003290516728926,same_bar_open,0.0,0.0
2024-01-22T00:00:00+00:00,BTCUSDT,sell,0.0002357284579421501,41579.9,9.801565708388807,-0.17304826097533205,0.0,0.00010515077987507247,same_bar_open,0.0,0.0
2024-01-23T00:00:00+00:00,BTCUSDT,sell,0.00023570825672104658,39567.1,9.326292164507322,-0.6474670103870431,0.0,9.925184628113556e-05,same_bar_open,0.0,0.0
2024-01-24T00:00:00+00:00,BTCUSDT,sell,0.00023568030425380194,39889.9,9.401263768653735,-0.571312625541641,0.0,9.958861088109821e-05,same_bar_open,0.0,0.0
2024-01-25T00:00:00+00:00,BTCUSDT,sell,0.00023565586534452735,40078.8,9.444804295970243,-0.5267379902180869,0.0,0.0001003739046948687,same_bar_open,0.0,0.0
2024-01-26T00:00:00+00:00,BTCUSDT,sell,0.00023563361814941445,39953.3,9.414340636009001,-0.556260282365322,0.0,9.561536017820882e-05,same_bar_open,0.0,0.0
