timestamp,equity,net_return,benchmark_return,turnover,drawdown,alpha,beta,sharpe,sortino,information_ratio,volatility,benchmark_volatility,max_drawdown,funding_return,fee_cost
2024-01-01T00:00:00+00:00,104447.64199355345,0.0,0.0,131.80065521668777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-39.08743462634778,39.984
2024-01-02T00:00:00+00:00,106147.83321256995,0.016277928219015525,0.016947696370353427,131.80065521668777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-69.9401653492154,0.015628573850536488
2024-01-03T00:00:00+00:00,101099.11386626335,-0.03205939419385628,-0.03121622782623623,131.80065521668777,-0.04756309378634349,-0.19967284139462382,0.9927236525801473,-6.654968852788659,0.0,-25.163135800307398,0.8624447150691427,0.8687661594720726,-0.04756309378634349,-21.3960946234026,0.027982317569229056
2024-01-04T00:00:00+00:00,104142.46153581473,-0.002921851100837314,-0.00195341644396807,131.80065521668777,-0.01889225258832461,-0.11866926879986309,0.9985552489617818,-0.219674130652285,0.0,-20.505299595265946,0.7915225324549038,0.7926474104095409,-0.01889225258832461,-10.41528853939849,0.008569630776386476
2024-01-05T00:00:00+00:00,104146.23202859,-0.0028857517432709923,-0.0019172420653760236,131.80065521668777,-0.018856731441437624,-0.08901132111973101,0.9985627207953931,-0.20827238143406468,-0.20932742580384392,-15.74118642746709,0.6462885183132406,0.6471946855176567,-0.018856731441437624,0.0,0.004169543268071721
2024-01-06T00:00:00+00:00,103690.68768520071,-0.00724721299499953,-0.006183557840570453,131.80065521668777,-0.02314833429005192,-0.07898290304587297,0.998427552681979,-0.7721085531550484,-0.8617109980515231,-15.542027763390239,0.5607907755967427,0.5616519365348512,-0.02314833429005192,-10.370106196094008,0.0
2024-01-07T00:00:00+00:00,103586.43849975166,-0.008245312937317895,-0.007083395508046486,131.80065521668777,-0.024130447464611793,-0.07199399295017267,0.9984271036253186,-0.851272120640483,-0.9730617114322836,-15.524462766094391,0.5015871088968854,0.50235677983339,-0.024130447464611793,-10.359680232969493,0.0041497102957451714
2024-01-08T00:00:00+00:00,110783.04580214906,0.06065626459031637,0.06200514580535477,131.80065521668777,0.0,-0.06677509644298496,0.9999897938253021,4.747646753682611,7.411717521502025,-15.723164136609745,0.6850383005323034,0.6850321141403506,-0.0,-11.07941293606171,0.004145531977305655
2024-01-09T00:00:00+00:00,108757.83518474217,0.04126654378137862,0.04259080899475931,131.80065521668777,-0.0182808714342787,-0.057355317636647474,0.9994655656909476,3.0403626745918872,5.250069333905326,-14.177164225631838,0.6604360520220525,0.6607764150867743,-0.0182808714342787,0.0,0.004433423387212679
2024-01-10T00:00:00+00:00,110041.3864391764,0.05355548807859334,0.05500088175047835,131.80065521668777,-0.00669470095900071,-0.05492402493590687,0.9995061146241663,3.651014401050753,5.909458244362011,-14.467543625622902,0.6190493163074244,0.6193431456110304,-0.00669470095900071,-11.005239611221102,0.0
2024-01-11T00:00:00+00:00,109263.79724709546,0.046110713096225275,0.0476507002003157,131.80065521668777,-0.013713727981146895,-0.05306221411132683,0.9994390727864286,3.0096211366166736,5.115617335948225,-14.743795121419616,0.5891841198177298,0.5895034604201284,-0.013713727981146895,-10.927472912387707,0.004403869213844882
2024-01-12T00:00:00+00:00,100895.54299971202,-0.03400841728969495,-0.032586332415408426,131.80065521668777,-0.08925104677204343,-0.05012512500083066,0.9989198419916923,-1.2766536068536192,-1.6721331796769157,-13.7223478304617,0.7300529258219652,0.7308339747612819,-0.08925104677204343,0.0,0.004372750712640118
2024-01-13T00:00:00+00:00,101021.02397435316,-0.03280704048265437,-0.03128631568475826,131.80065521668777,-0.08811837368355269,-0.04894548652413466,0.9989287238035578,-1.1761223203574047,-1.4694066039776172,-14.062350624079768,0.696379620671759,0.6971184202124285,-0.08811837368355269,-10.103113146024992,0.0
