timestamp,open,high,low,close,volume,symbol
2022-01-01T00:00:00Z,46210.57,47943.77,46210.55,47704.35,179433.584,BTCUSDT
2022-03-28T00:00:00Z,46820.9,48200.0,46651.2,47121.9,317565.782,BTCUSDT
2022-03-29T00:00:00Z,47121.8,48100.0,46911.0,47418.5,259040.835,BTCUSDT
2022-03-30T00:00:00Z,47418.5,47688.6,46535.0,47053.2,235009.892,BTCUSDT
2022-03-31T00:00:00Z,47053.1,47619.4,45185.0,45506.0,299837.61,BTCUSDT
2022-04-01T00:00:00Z,45505.9,46700.0,44206.2,46266.2,360734.553,BTCUSDT
2022-04-02T00:00:00Z,46266.2,47236.8,45600.0,45794.6,226413.357,BTCUSDT
2022-04-03T00:00:00Z,45792.3,47448.0,45501.0,46392.4,212589.013,BTCUSDT
2022-08-11T00:00:00Z,23941.0,24972.0,23840.6,23917.2,760455.245,BTCUSDT
2022-08-12T00:00:00Z,23917.3,24438.8,23560.0,24387.5,477734.045,BTCUSDT
2022-08-13T00:00:00Z,24387.5,24879.0,24267.5,24429.0,431093.659,BTCUSDT
2022-08-14T00:00:00Z,24429.0,25065.0,24138.0,24294.1,437314.32,BTCUSDT
2022-08-15T00:00:00Z,24294.1,25200.0,23762.0,24085.2,739390.721,BTCUSDT
2022-08-16T00:00:00Z,24085.2,24234.0,23650.0,23843.0,460919.994,BTCUSDT
2022-08-17T00:00:00Z,23843.0,24437.0,23170.0,23333.1,640600.903,BTCUSDT
2022-08-18T00:00:00Z,23333.1,23595.0,23101.0,23185.1,347699.006,BTCUSDT
2022-08-19T00:00:00Z,23185.0,23200.0,20760.0,20824.9,906609.825,BTCUSDT
2022-08-20T00:00:00Z,20825.0,21368.9,20742.9,21127.8,490507.042,BTCUSDT
2022-08-21T00:00:00Z,21127.7,21804.6,21055.0,21505.6,424282.424,BTCUSDT
2022-08-22T00:00:00Z,21505.6,21550.0,20858.6,21387.0,588764.597,BTCUSDT
2022-08-23T00:00:00Z,21387.0,21667.2,20874.8,21518.2,609745.27,BTCUSDT
2022-08-24T00:00:00Z,21518.2,21925.6,21132.3,21354.9,502728.198,BTCUSDT
2022-08-25T00:00:00Z,21355.0,21810.9,21295.3,21548.3,415757.992,BTCUSDT
2022-08-26T00:00:00Z,21548.3,21867.6,20100.0,20228.7,896474.356,BTCUSDT
2022-08-27T00:00:00Z,20228.7,20367.7,19744.0,20023.9,469598.024,BTCUSDT
2022-08-28T00:00:00Z,20024.0,20155.0,19508.0,19547.5,386405.195,BTCUSDT
2022-08-29T00:00:00Z,19547.5,20440.0,19539.4,20275.5,598076.669,BTCUSDT
2022-08-30T00:00:00Z,20275.5,20574.0,19524.4,19803.1,767714.993,BTCUSDT
2022-08-31T00:00:00Z,19803.2,20496.0,19787.9,20041.5,711639.339,BTCUSDT
2022-09-01T00:00:00Z,20041.4,20198.3,19555.0,20122.5,691594.721,BTCUSDT
2022-09-02T00:00:00Z,20122.6,20434.3,19736.0,19941.0,669047.816,BTCUSDT
2022-09-03T00:00:00Z,19941.0,20050.0,19628.7,19820.7,285240.989,BTCUSDT
2022-09-04T00:00:00Z,19820.7,20022.4,19570.0,19992.7,396798.184,BTCUSDT
2022-09-05T00:00:00Z,19992.7,20046.7,19620.2,19784.9,446706.41,BTCUSDT
2022-09-06T00:00:00Z,19784.9,20174.7,18600.0,18781.5,945489.142,BTCUSDT
2022-09-07T00:00:00Z,18781.4,19455.0,18500.0,19287.0,595636.693,BTCUSDT
2022-09-08T00:00:00Z,19287.0,19450.0,19003.8,19309.3,537268.644,BTCUSDT
2022-09-09T00:00:00Z,19309.3,21666.0,19283.0,21352.0,992497.1,BTCUSDT
2022-09-10T00:00:00Z,21352.0,21825.0,21112.2,21639.5,491543.206,BTCUSDT
2022-09-11T00:00:00Z,21639.5,21883.4,21336.0,21820.3,420979.326,BTCUSDT
2022-09-12T00:00:00Z,21820.3,22474.0,21540.0,22386.0,818601.932,BTCUSDT
2022-09-13T00:00:00Z,22386.0,22850.0,19840.0,20162.5,1218769.927,BTCUSDT
2022-09-14T00:00:00Z,20162.6,20528.5,19600.0,20217.0,661802.597,BTCUSDT
2022-09-15T00:00:00Z,20217.0,20315.0,19453.0,19690.8,665862.067,BTCUSDT
2022-09-16T00:00:00Z,19690.8,19878.0,19300.0,19792.5,544608.804,BTCUSDT
2022-09-17T00:00:00Z,19792.4,20182.6,19739.4,20102.0,334678.558,BTCUSDT
2022-09-18T00:00:00Z,20102.0,20105.3,19325.8,19404.5,499916.474,BTCUSDT
2022-09-19T00:00:00Z,19404.5,19686.3,18215.0,19528.6,993776.352,BTCUSDT
2022-09-20T00:00:00Z,19528.6,19625.0,18690.1,18866.8,794623.932,BTCUSDT
2022-09-21T00:00:00Z,18866.7,20154.1,18084.3,18447.5,1168068.979,BTCUSDT
2022-09-22T00:00:00Z,18447.5,19504.8,18345.2,19392.5,852898.391,BTCUSDT
2022-09-23T00:00:00Z,19392.5,19492.0,18518.5,19280.7,838493.746,BTCUSDT
2022-09-24T00:00:00Z,19280.7,19304.5,18798.0,18911.0,377158.215,BTCUSDT
2022-09-25T00:00:00Z,18910.9,19196.0,18621.0,18799.7,410461.603,BTCUSDT
